gid,imgurl,name,salePrice,marketPrice,store
1331,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05906246257217290_360.jpg,2018新款加厚加绒棉袄冬季男士外套个性棉衣修身韩版棉服潮流帅气 黑色 M反季折扣价 反季不买 当季被宰,128.00 ,299.00 ,潮男搭配师
1332,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05874393794974609_360.jpg,斯潮 爆款新品大吉大利晚上吃鸡绝地求生短袖宽松潮流体t恤港风男 黑色 M,69.00 ,89.00 ,潮男搭配师
1333,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05874389236364258_360.jpg,斯潮港风原宿情侣简约圆领字母印花短袖T恤韩版青少年百搭个性潮 蓝色 M,68.00 ,98.00 ,潮男搭配师
1334,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05860525139062365_360.jpg,春夏季白色打底衫男韩版修身紧身健身纯棉短袖t恤男士体恤衫潮流 黑色 M,78.00 ,99.00 ,潮男搭配师
1335,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05852291601901769_360.jpg,新款潮2018春夏男女纯棉情侣印花短袖T恤宽松半袖 港风 黑色 M,79.00 ,92.00 ,潮男搭配师
1336,https://www.nanshig.com/data/upload/shop/store/goods/45/45_05852281830449534_360.jpg,斯潮 男士短袖抖音爆款夏季韩版潮流宽松文艺风T恤个性衣服五分袖 红色 S,89.00 ,96.00 ,潮男搭配师
1337,https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675285902647288_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675285533371836_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675285922582370_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675285964631507_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675285974937220_360.jpg,冬季呢子外套男士毛呢大衣韩版潮流中长款男风衣双排扣西装领大衣 黑色 M,178.00 ,349.00 ,潮衣格
1338,https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675276340283591_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675277045075834_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675277053240062_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675277089252879_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/25/25_05675277123083731_360.jpg,秋冬新款男士毛呢大衣中长款韩版宽松chic外套男风衣呢子外套青年 黑色 M,179.00 ,369.00 ,潮衣格
1339,https://www.nanshig.com/data/upload/shop/store/goods/29/29_05669550980859227_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/29/29_05669551311837333_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/29/29_05669551330558918_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/29/29_05669551350122709_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/29/29_05669551379231778_360.jpg,立领棉衣男长款冬季加厚外套韩版修身冬天保暖棉服男冬装青年棉袄 黑色 M,198.00 ,399.00 ,衣品轩
1340,https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600023215048189_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600022467387465_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600023158309144_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600023234649355_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600023287488660_360.jpg,夏季无袖t恤背心男运动宽松韩版大码棉麻坎肩亚麻沙滩休闲汗衫潮 白色 M,59.00 ,118.00 ,顺兴男士潮流
1341,https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600012650116550_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600012942964800_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600013006263937_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600013081890986_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/15/15_05600013104759660_360.jpg,原创设计迷彩套头连帽卫衣男外套青少年学生宽松嘻哈风秋冬季 迷彩色 M,189.00 ,369.00 ,顺兴男士潮流
1342,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598322019165313_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598322257817503_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598322518386229_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598322525133187_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598322464399662_360.jpg,牛仔外套男港仔个性拼色秋冬新款学生原宿bf宽松洗水牛仔夹克衣潮 蓝色 M,139.00 ,278.00 ,顺潮服装
1343,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598318851979418_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598319324368576_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598319581501819_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598319560598200_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598319522419825_360.jpg,韩版宽松牛仔外套男学生秋冬装新款原宿bf风简约青少年夹克上衣潮 蓝色 M,139.00 ,278.00 ,顺潮服装
1344,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598317733504200_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598317963350444_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598317997601072_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598318035655635_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598318059651178_360.jpg,秋冬新款牛仔外套男宽松破洞韩版潮流夹克原宿风外套牛仔衣 蓝色 M,138.00 ,276.00 ,顺潮服装
1345,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598312918264411_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598313241516180_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598313315950251_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598313359514618_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598313366520696_360.jpg,个性国潮风中长款牛仔外套男款青少年秋装日系宽松bf原宿夹克衫 黑色 M,139.00 ,278.00 ,顺潮服装
1346,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598198901255035_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598198398375179_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598199092995504_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598199104460858_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598198987867592_360.jpg,秋季新款虎头刺绣可拆卸领宽松ov舒适PU皮夹克男短款皮衣BF风外套 黑色 M,169.00 ,338.00 ,顺潮服装
1347,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598178196464532_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598177256240172_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598178374276703_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598178364050107_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598178367355725_360.jpg,男军绿色宽松工装夹克韩版原宿潮男时髦毛边贴布秋装外套 黑色 M,139.00 ,278.00 ,顺潮服装
1348,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598172561798497_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598173161451124_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598173368191497_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598173385521680_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598173389051073_360.jpg,男韩版秋装新款长袖皮夹克青年落肩袖机车服外穿短款皮衣潮 黑色 M,169.00 ,338.00 ,顺潮服装
1349,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598166078637780_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598165586832897_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598165893588494_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598166057035167_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598166082209726_360.jpg,秋季新款个性下摆磨破时尚潮男中长款牛仔风衣 水洗牛仔衣 深蓝色 M,158.00 ,316.00 ,顺潮服装
1350,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598154453862773_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598153857671538_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598154280090257_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598154420389478_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598154470986508_360.jpg,秋装 原宿风做旧字母印花复古针织开衫潮男外搭毛衣外套 灰色 M,138.00 ,276.00 ,顺潮服装
1351,https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598145130253366_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598144570847366_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598145007605425_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598145178445945_360.jpg&https://www.nanshig.com/data/upload/shop/store/goods/18/18_05598145096946531_360.jpg,秋冬季韩版男士中长款毛呢大衣宽松腰带呢子外套长款风衣潮 黑色 M,190.00 ,380.00 ,顺潮服装
